Random waveform, random seed
Total number of intervals = 320 (53837, 65966, 50164, 89339, 23259, 26614, 80990, 31757, 62274, 30772, 43646, 78245, 73552, 50072, 66720, 78457, 15020, 65232, 63177, 10101, 54873, 5190, 71675, 34765, 82482, 27386, 38419, 24162, 91906, 44762, 38437, 42763, 67756, 7753, 21234, 97431, 80797, 13211, 76516, 83795, 51635, 21554, 69212, 73965, 58466, 56105, 87059, 85940, 6618, 36779, 7135, 83124, 73981, 32543, 68598, 11829, 28023, 95968, 97794, 5120, 34080, 65278, 65581, 30588, 83211, 14783, 82605, 5402, 25125, 36910, 15797, 16558, 85569, 35016, 21648, 29884, 22428, 18475, 83853, 84008, 15221, 35396, 41645, 93406, 75497, 52863, 46462, 98026, 6626, 82182, 13763, 34350, 41329, 92780, 9402, 79962, 37302, 59495, 66224, 99963, 82536, 81628, 14189, 76315, 32450, 30468, 53599, 69799, 46099, 73151, 54930, 15925, 76631, 13254, 33300, 56685, 64340, 80660, 86427, 21718, 55980, 89882, 42492, 70487, 22135, 46840, 96864, 53918, 15483, 66506, 96022, 62799, 13061, 13127, 76987, 20453, 90061, 8124, 83723, 81711, 78316, 22056, 43460, 91671, 85054, 30139, 36739, 90802, 20006, 79929, 63039, 64305, 67556, 65494, 88525, 24780, 29848, 81601, 37060, 71590, 43313, 91672, 7385, 11473, 30857, 36443, 64482, 83105, 48335, 38737, 48146, 5153, 26861, 43088, 25767, 86233, 80574, 67791, 28862, 42575, 39297, 52018, 95982, 46494, 63572, 95159, 84537, 71462, 63483, 16612, 29236, 67667, 38133, 52724, 89271, 33127, 5029, 21767, 36277, 24513, 99463, 34248, 36175, 15348, 68124, 23132, 78263, 80394, 82767, 62604, 60257, 46257, 72716, 63158, 72570, 64803, 61262, 35474, 18974, 20598, 53930, 20791, 66875, 18504, 16237, 9428, 41045, 68913, 75380, 87816, 84448, 11826, 71231, 90851, 76670, 97575, 24720, 73270, 48954, 88062, 38850, 48812, 69474, 94336, 36813, 5768, 92659, 69270, 91531, 9997, 10471, 96662, 70836, 87456, 17168, 71024, 31205, 93769, 6850, 31764, 82033, 87255, 59822, 52648, 31518, 41758, 89751, 22529, 18976, 63247, 42149, 93534, 39600, 18122, 42836, 50483, 41168, 46353, 80113, 20901, 8795, 44250, 73292, 43912, 83642, 46037, 77948, 10406, 49325, 47971, 95474, 59382, 60629, 26567, 47050, 7114, 10743, 98447, 52703, 18786, 97624, 5577, 24952, 79933, 34932, 25006, 26366, 85542, 50629, 22590, 91711, 94658, 34868, 95773, 49527, 35659, 81789, 57774, 30550, 98775)
Average QPS expected = 52324
Timestamp start: 1715641823024
Timestamp end: 1715642783730

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      386.2   388.5   148.8   192.7   205.3   323.5   398.4   450.7   490.0   533.2   590.3   689.6  1362.9  4061.9 10444.0  65342.0    65581
read      385.2   412.8   148.8   193.6   206.4   334.7   411.4   463.3   498.6   537.1   586.4   661.3  1031.8  4409.4 10122.0  30575.0    30588
read      377.3   312.2   148.8   193.2   206.6   320.4   389.6   436.0   476.3   520.3   578.0   675.4  1299.2  4203.5  9510.2  82673.3    83211
read      424.0  1021.5   148.8   190.7   202.4   334.5   395.2   436.1   472.6   511.0   572.5   666.7  1079.1 20172.4 32144.9  14879.7    14783
read      445.6   803.0   148.8   197.5   212.6   342.9   417.4   468.0   506.7   557.4   629.5   795.7  1816.1 12639.8 31857.2  82714.0    82605
read      616.2  2408.5   148.8   201.3   221.1   307.5   342.7   364.8   381.1   401.1   438.6   533.2 10026.7 35870.3 42446.3   5499.3     5402
read      542.8  1417.6   148.8   192.7   205.4   339.5   441.0   512.6   570.0   649.8   762.0   933.5  4817.9 27963.0 37600.3  25180.3    25125
read      441.9   774.8   148.8   193.3   205.7   329.7   417.4   481.5   525.6   584.1   671.6   907.1  1503.1  9359.0 34928.9  36919.3    36910
read      406.6   810.2   148.8   195.0   207.4   337.6   398.4   432.4   461.1   492.4   532.7   612.8  1149.4 15722.6 31152.0  15695.7    15797
read      473.3  1079.5   160.7   192.0   204.3   346.3   428.3   488.1   530.6   584.7   649.6   747.6  2631.7 14534.8 31868.7  16643.0    16558
read      580.9  1295.3   148.8   206.9   226.8   371.4   445.3   501.3   556.1   657.1   904.3  1541.1  2730.9 18511.4 36579.2  85528.7    85569
read      394.8   631.8   148.8   192.8   205.2   332.5   405.7   455.1   492.3   532.9   585.8   667.3  1159.5  8690.1 32204.1  34871.7    35016
read      383.9   555.2   148.8   192.4   204.5   325.5   397.0   440.9   476.4   510.7   558.0   648.6  1042.7  8252.7 30701.9  21795.0    21648
read      421.1   672.9   148.8   193.6   206.3   331.3   412.1   470.8   510.6   558.0   623.9   792.1  1360.0  8435.9 31123.4  29924.3    29884
read      394.5   562.9   148.8   193.6   206.0   332.2   407.8   458.4   493.0   529.8   580.4   679.4  1048.6  7978.8 28420.6  22532.0    22428
read      427.8   811.3   148.8   191.9   204.3   336.9   415.1   468.9   505.5   552.5   627.0   743.4  1647.4  8635.1 32373.4  18544.7    18475
read      428.5   572.6   148.8   198.3   212.7   340.9   416.0   467.9   507.3   558.3   633.1   819.0  1789.6  6971.3 23528.9  84043.7    83853
read      374.2   327.1   148.8   193.4   206.8   319.3   384.8   429.7   468.1   512.8   569.8   663.4  1415.6  3271.0  9174.6  83913.7    84008
read      352.1   344.2   148.8   192.3   204.1   325.2   379.0   406.2   429.0   457.2   491.2   541.6   822.7  5561.5 12726.9  15266.7    15221
